Run,Fixed_Point(s),Float64(s)
1,9.531450748443604,9.932215452194214
2,8.595962285995483,9.168479442596436
3,8.491229772567749,8.893324613571167
4,8.498883724212646,8.78510308265686
5,8.52106785774231,8.812612771987915
6,8.4966881275177,8.85344409942627
7,8.485954284667969,8.812903881072998
8,8.5401771068573,8.84622573852539
9,8.910252332687378,8.714077472686768
10,8.60506296157837,8.772657871246338
11,8.502870559692383,8.881838083267212
12,8.563134670257568,8.812403678894043
13,8.476387739181519,8.790846109390259
14,8.509737968444824,8.869829177856445
15,8.501178741455078,8.833887100219727
16,8.475798845291138,8.840233564376831
17,8.52441143989563,8.737502336502075
18,8.498231649398804,8.79658317565918
19,8.468909978866577,8.828317880630493
20,8.470517873764038,8.87821888923645
21,8.712316989898682,8.790886878967285
22,8.75020980834961,8.979013442993164
23,9.880787372589111,8.842978239059448
24,8.55518627166748,8.92269492149353
25,8.497976779937744,8.799805164337158
26,8.437416553497314,8.879910945892334
27,8.545689582824707,8.805628538131714
28,8.584415674209595,8.814503908157349
29,8.480142593383789,9.25876235961914
30,8.483641862869263,9.03859281539917
31,8.55061960220337,8.72234034538269
32,8.46698522567749,8.56041169166565
33,8.73567271232605,8.606510877609253
34,8.641605854034424,8.752982139587402
35,8.971970558166504,9.28881025314331
36,8.364881038665771,8.815778970718384
37,8.384957075119019,8.869927167892456
38,8.333677053451538,8.8181893825531
39,8.371989965438843,8.929861783981323
40,8.498528242111206,8.79802656173706
41,8.793151378631592,8.84994387626648
42,8.527780055999756,8.83591604232788
43,9.539608716964722,8.896077156066895
44,10.166815519332886,8.862304210662842
45,9.720286130905151,8.802041053771973
46,8.96595025062561,8.94370436668396
47,9.10229206085205,8.996267795562744
48,9.000570297241211,8.860888242721558
49,8.873644590377808,8.694611310958862
50,9.024050235748291,8.769846439361572
51,8.876236915588379,8.827754735946655
52,9.030858039855957,8.733291149139404
53,8.966038465499878,8.868080139160156
54,8.944125652313232,8.806939601898193
55,8.761799335479736,8.849571943283081
56,8.969172239303589,8.816499471664429
57,8.933578729629517,8.801705598831177
58,8.671897411346436,8.855673789978027
59,9.136106729507446,8.801383972167969
60,8.976538181304932,8.942658185958862
61,8.856289148330688,9.07726263999939
62,9.008720874786377,8.976070404052734
63,9.137124300003052,8.739171028137207
64,8.95618462562561,8.791133642196655
65,9.011399030685425,8.956506490707397
66,9.000705480575562,8.857836723327637
67,9.097483158111572,8.754612684249878
68,8.919872045516968,9.131324052810669
69,8.93168306350708,9.134315013885498
70,8.888339519500732,8.916905641555786
71,8.909700393676758,8.71267580986023
72,9.001894235610962,8.911102771759033
73,8.878878355026245,8.90165090560913
74,9.055200576782227,8.795263528823853
75,9.007406234741211,8.868529558181763
76,8.91716718673706,8.854669094085693
77,8.965815305709839,8.849631071090698
78,8.883841276168823,8.790655851364136
79,8.945142030715942,8.818957805633545
80,8.936036348342896,8.957853078842163
81,8.958893060684204,8.8399178981781
82,8.927436351776123,8.832452535629272
83,8.950363636016846,8.789133071899414
84,8.959835290908813,8.796396970748901
85,8.886526107788086,8.905855894088745
86,9.137269496917725,8.800048351287842
87,9.34999966621399,8.857503175735474
88,9.102017164230347,8.912585258483887
89,9.384295225143433,8.771330118179321
90,9.152870416641235,8.860198497772217
91,9.405890464782715,8.737805366516113
92,9.337040901184082,8.832301378250122
93,9.1636643409729,8.916623830795288
94,9.160122156143188,8.888015985488892
95,9.479918479919434,9.303917646408081
96,9.444524765014648,8.970609664916992
97,9.294212102890015,8.827794313430786
98,9.327175617218018,8.968310356140137
99,9.12387228012085,9.3276047706604
100,9.134175300598145,8.848754644393921
